id,title,number,tarot_card_image,astrological,alchemical,intelligence,hebrew_letter,letter_meaning,description,galileo_content,f_loss_content,st_paul_content,f_loss_bullets,galileo_bullets,st_paul_bullets,description_bullets,slashdot_position,watchtower_position,tarot_card_thumbnail
1,The Emperor,4,https://i.imgur.com/3t5OZ95.jpg,Aries,mattis,Aliquam,fringilla,"ut,","He has a form of the Crux ansata for his sceptre and a globe in his left hand. He is a crowned monarch--commanding, stately, seated on a throne, the arms of which axe fronted by rams' heads. He is executive and realization, the power of this world, here clothed with the highest of its natural attributes. He is occasionally represented as seated on a cubic stone, which, however, confuses some of the issues. He is the virile power, to which the Empress responds, and in this sense is he who seeks to remove the Veil of Isis; yet she remains virgo intacta.It should be understood that this card and that of the Empress do not precisely represent the condition of married life, though this state is implied. On the surface, as I have indicated, they stand for mundane royalty, uplifted on the seats of the mighty; but above this there is the suggestion of another presence. They signify also--and the male figure especially--the higher kingship, occupying the intellectual throne. Hereof is the lordship of thought rather than of the animal world. Both personalities, after their own manner, are ""full of strange experience,"" but theirs is not consciously the wisdom which draws from a higher world. The Emperor has been described as (a) will in its embodied form, but this is only one of its applications, and (b) as an expression of virtualities contained in the Absolute Being--but this is fantasy.","Lacus facilisis egestas, vitae fringilla facilisis. Vitae felis. Sed felis. malesuada. Magna Phasellus fringilla eu. Ut, Sed justo, egestas,.","Justo, eu felis. dui. Aliquam lacus lacus ut,. Malesuada lectus, vitae. Vitae eu vitae. ut, justo, fringilla fringilla. Eget vitae fringilla lorem mattis laoreet Sed. Sed sed Sed magna egestas, egestas, magna. Phasellus Aliquam eget eu. Mollis vitae magna. Phasellus Sed mollis fringilla vitae magna mollis.","Mollis justo, malesuada facilisis. Egestas, lacus vitae. vitae vitae. Justo, lacus egestas, dui. laoreet lectus,. Ut, dui. Phasellus Sed. Lacus felis. magna malesuada mattis lacus. Laoreet malesuada mollis egestas, malesuada eget. Lorem facilisis Sed magna egestas, egestas, fringilla magna.","Magna facilisis eu.
Mattis felis. mattis.
Vitae felis. sed.
Fringilla eget vitae..
Mollis ut, ut,.
Fringilla vitae. Phasellus.","Dui. egestas, fringilla.
Fringilla lacus facilisis.
Malesuada eu egestas,.
Justo, laoreet mollis.
Egestas, fringilla facilisis.
Lectus, lorem lorem.","Eu vitae Aliquam.
Aliquam lacus Phasellus.
Laoreet ut, eu.
Egestas, ut, laoreet.
Facilisis lorem lacus.
Facilisis eu mattis.","Vitae. ut, Phasellus.
Lacus lorem fringilla.
Felis. mollis laoreet.
Eget sed facilisis.
Justo, fringilla lacus.
Mattis laoreet fringilla.",1,1,
2,The High Priestess,2,https://i.imgur.com/OWFv2l5.jpg,Astrological Attribute,facilisis,magna,"lectus,",vitae.,"She has the lunar crescent at her feet, a horned diadem on her head, with a globe in the middle place, and a large solar cross on her breast. The scroll in her hands is inscribed with the word Tora, signifying the Greater Law, the Secret Law and the second sense of the Word. It is partly covered by her mantle, to shew that some things are implied and some spoken. She is seated between the white and black pillars--J. and B.--of the mystic Temple, and the veil of the Temple is behind her: it is embroidered with palms and pomegranates. The vestments are flowing and gauzy, and the mantle suggests light--a shimmering radiance. She has been called occult Science on the threshold of the Sanctuary of Isis, but she is really the Secret Church, the House which is of God and man. She represents also the Second Marriage of the Prince who is no longer of this world; she is the spiritual Bride and Mother, the daughter of the stars and the Higher Garden of Eden. She is, in fine, the Queen of the borrowed light, but this is the light of all. She is the Moon nourished by the milk of the Supernal Mother.In a manner, she is also the Supernal Mother herself--that is to say, she is the bright reflection. It is in this sense of reflection that her truest and highest name in bolism is Shekinah--the co-habiting glory. According to Kabalism, there is a Shekinah both above and below. In the superior world it is called Binah, the Supernal Understanding which reflects to the emanations that are beneath. In the lower world it is MaIkuth--that world being, for this purpose, understood as a blessed Kingdom that with which it is made blessed being the Indwelling Glory. Mystically speaking, the Shekinah is the Spiritual Bride of the just man, and when he reads the Law she gives the Divine meaning. There are some respects in which this card is the highest and holiest of the Greater Arcana.","Phasellus Phasellus felis. lacus dui. ut, Aliquam. Mollis lacus mattis lectus, lacus magna. Laoreet sed lorem malesuada Sed egestas, Sed. Lectus, vitae lectus, felis. egestas, fringilla sed. Justo, justo, malesuada lorem malesuada eu sed. Lacus malesuada mollis.","Vitae magna Phasellus magna mollis lacus sed. Fringilla lectus, lectus, vitae. vitae. mollis. Mattis eu justo, laoreet malesuada sed. Ut, facilisis facilisis lectus, lacus facilisis mattis. Lacus Aliquam ut, mollis egestas, lorem lorem. Lectus, justo, fringilla dui. malesuada eu. Vitae. vitae. facilisis.","Malesuada laoreet eu. Egestas, ut, facilisis laoreet Aliquam vitae mollis lacus. Fringilla lectus, ut, lorem Sed laoreet. Laoreet fringilla fringilla lectus, lorem mattis laoreet.","Lacus Aliquam mattis.
Lectus, ut, fringilla.
Eu lacus vitae..
Facilisis vitae egestas,.
Sed malesuada fringilla.
Eget fringilla dui..","Sed Aliquam lacus.
Sed Sed lorem.
Lacus lorem dui..
Lorem justo, mattis.
Eu vitae lectus,.
Sed laoreet magna.","Magna lacus justo,.
Aliquam vitae eget.
Felis. mollis vitae.
Sed eu malesuada.
Vitae. sed Sed.
Facilisis lacus Sed.","Malesuada facilisis dui..
Egestas, Sed lacus.
Lorem ut, facilisis.
Felis. felis. felis..
Vitae. vitae. magna.
Magna fringilla Phasellus.",1,1,
3,The Lovers,6,https://i.imgur.com/ph1uA6K.jpg,Gemini,eget,malesuada,"justo,",Sed,"The sun shines in the zenith, and beneath is a great winged figure with arms extended, pouring down influences. In the foreground are two human figures, male and female, unveiled before each other, as if Adam and Eve when they first occupied the paradise of the earthly body. Behind the man is the Tree of Life, bearing twelve fruits, and the Tree of the Knowledge of Good and Evil is behind the woman; the serpent is twining round it. The figures suggest youth, virginity, innocence and love before it is contaminated by gross material desire. This is in all simplicity the card of human love, here exhibited as part of the way, the truth and the life. It replaces, by recourse to first principles, the old card of marriage, which I have described previously, and the later follies which depicted man between vice and virtue. In a very high sense, the card is a mystery of the Covenant and Sabbath.The suggestion in respect of the woman is that she signifies that attraction towards the sensitive life which carries within it the idea of the Fall of Man, but she is rather the working of a Secret Law of Providence than a willing and conscious temptress. It is through her imputed lapse that man shall arise ultimately, and only by her can he complete himself. The card is therefore in its way another intimation concerning the great mystery of womanhood. The old meanings fall to pieces of necessity with the old pictures, but even as interpretations of the latter, some of them were of the order of commonplace and others were false in symbolism.","Eu fringilla lacus justo, egestas, vitae. lectus, mattis. Laoreet facilisis magna Aliquam mollis. Sed Sed egestas, lacus. Lorem Sed egestas, vitae. sed.","Felis. mattis eget ut, malesuada. Lacus sed dui. Sed mattis. Dui. Aliquam vitae vitae. Lacus Phasellus mattis. Sed Aliquam fringilla Sed.","Egestas, lorem Aliquam Sed. Dui. eget fringilla Sed mollis fringilla lacus. Phasellus felis. Sed sed eu. Fringilla vitae egestas, vitae. mattis.","Sed ut, lacus.
Aliquam sed fringilla.
Ut, vitae lacus.
Eu eget ut,.
Phasellus Sed magna.
Fringilla vitae. malesuada.","Dui. lacus vitae.
Laoreet sed lorem.
Dui. lectus, mattis.
Vitae. eu vitae.
Justo, laoreet vitae.
Vitae. vitae eget.","Vitae. lacus lacus.
Lacus malesuada eget.
Dui. lacus ut,.
Egestas, lacus felis..
Malesuada vitae. eget.
Fringilla justo, fringilla.","Egestas, malesuada fringilla.
Malesuada laoreet felis..
Vitae facilisis laoreet.
Lorem Aliquam malesuada.
Mattis dui. dui..
Felis. vitae. vitae..",1,1,
4,The Moon,18,https://i.imgur.com/F4IyE5l.jpg,Pisces,Phasellus,magna,dui.,mollis,"The distinction between this card and some of the conventional types is that the moon is increasing on what is called the side of mercy, to the right of the observer. It has sixteen chief and sixteen secondary rays. The card represents life of the imagination apart from life of the spirit. The path between the towers is the issue into the unknown. The dog and wolf are the fears of the natural mind in the presence of that place of exit, when there is only reflected light to guide it.The last reference is a key to another form of symbolism. The intellectual light is a reflection and beyond it is the unknown mystery which it cannot shew forth. It illuminates our animal nature, types of which are represented below--the dog, the wolf and that which comes up out of the deeps, the nameless and hideous tendency which is lower than the savage beast. It strives to attain manifestation, symbolized by crawling from the abyss of water to the land, but as a rule it sinks back whence it came. The face of the mind directs a calm gaze upon the unrest below; the dew of thought falls; the message is: Peace, be still; and it may be that there shall come a calm upon the animal nature, while the abyss beneath shall cease from giving up a form.","Mattis mattis felis.. Laoreet malesuada lectus, Sed mollis fringilla laoreet. Sed mattis egestas, eu lectus, sed.","Eget ut, lectus, facilisis laoreet felis. magna. Eu fringilla Phasellus laoreet eu vitae.. Ut, lacus lacus sed mollis magna Sed. Egestas, eget dui. lacus magna Aliquam.","Vitae. fringilla eget malesuada ut, fringilla. Mollis lorem facilisis lorem justo,. Facilisis egestas, fringilla Phasellus vitae Aliquam Aliquam felis.. Sed vitae. justo, vitae fringilla. Magna mollis malesuada laoreet. Facilisis vitae. dui. vitae.. Lorem felis. facilisis malesuada lacus.","Fringilla fringilla Sed.
Lectus, ut, mollis.
Lectus, vitae. Phasellus.
Egestas, lacus lorem.
Eget sed mollis.
Fringilla lorem justo,.","Vitae eget fringilla.
Lorem eu justo,.
Dui. laoreet lorem.
Lacus vitae felis..
Facilisis laoreet dui..
Lacus facilisis facilisis.","Lacus lectus, felis..
Lectus, Sed lectus,.
Vitae justo, justo,.
Malesuada facilisis fringilla.
Lectus, fringilla laoreet.
Dui. laoreet sed.","Lorem Phasellus lacus.
Aliquam ut, laoreet.
Egestas, egestas, mollis.
Sed felis. fringilla.
Sed eget lacus.
Egestas, mattis dui..",1,1,
5,The Star,17,https://i.imgur.com/WxuFI1E.jpg,Aquarius,fringilla,fringilla,"egestas,",lorem,"A great, radiant star of eight rays, surrounded by seven lesser stars--also of eight rays. The female figure in the foreground is entirely naked. Her left knee is on the land and her right foot upon the water. She pours Water of Life from two great ewers, irrigating sea and land. Behind her is rising ground and on the right a shrub or tree, whereon a bird alights. The figure expresses eternal youth and beauty. The star is l'étoile flamboyante, which appears in Masonic symbolism, but has been confused therein. That which the figure communicates to the living scene is the substance of the heavens and the elements. It has been said truly that the mottoes of this card are ""Waters of Life freely"" and ""Gifts of the Spirit.""The summary of several tawdry explanations says that it is a card of hope. On other planes it has been certified as immortality and interior light. For the majority of prepared minds, the figure will appear as the type of Truth unveiled, glorious in undying beauty, pouring on the waters of the soul some part and measure of her priceless possession. But she is in reality the Great Mother in the Kabalistic Sephira Binah, which is supernal Understanding, who communicates to the Sephiroth that are below in the measure that they can receive her influx.","Malesuada facilisis eu justo, lorem lacus vitae. Lacus Sed dui. malesuada dui. magna. Lorem mollis eu lectus,. Lacus facilisis mollis vitae. Magna Aliquam Phasellus lacus vitae lacus eu. Fringilla facilisis mollis mattis. Facilisis fringilla dui. lectus, fringilla.","Justo, Sed sed lorem. Mattis lacus mattis eget felis.. Facilisis lorem ut, sed felis. malesuada mattis. Laoreet egestas, eget magna Sed egestas,. Lacus dui. Sed fringilla lacus. Mattis lacus lacus felis. malesuada egestas, dui..","Malesuada egestas, felis.. Fringilla fringilla lectus, felis. malesuada lectus, dui.. Eget lacus egestas, ut, lacus mollis. Lacus laoreet lacus Sed dui. vitae. Facilisis ut, mollis fringilla eget. Vitae egestas, lacus eget facilisis. Aliquam laoreet malesuada laoreet eu mattis fringilla vitae..","Vitae. eget eu.
Mollis lectus, mattis.
Vitae ut, Sed.
Vitae vitae. malesuada.
Phasellus eu laoreet.
Lacus mattis egestas,.","Facilisis facilisis lacus.
Vitae. sed Aliquam.
Mollis laoreet Phasellus.
Sed facilisis fringilla.
Fringilla mattis mollis.
Malesuada lorem vitae..","Eu eu lorem.
Lectus, vitae. lectus,.
Facilisis Aliquam magna.
Phasellus Phasellus mollis.
Egestas, Sed facilisis.
Sed eget lacus.","Lacus laoreet lacus.
Laoreet Phasellus vitae.
Malesuada Sed vitae.
Vitae. felis. mattis.
Mollis felis. eu.
Malesuada felis. malesuada.",1,1,
6,The Tower,16,https://i.imgur.com/8JpuOOC.jpg,Astrological,vitae.,"lectus,","ut,",fringilla,"Occult explanations attached to this card are meagre and mostly disconcerting. It is idle to indicate that it depicts min in all its aspects, because it bears this evidence on the surface. It is said further that it contains the first allusion to a material building, but I do not conceive that the Tower is more or less material than the pillars which we have met with in three previous cases. I see nothing to warrant Papus in supposing that it is literally the fall of Adam, but there is more in favour of his alternative--that it signifies the materialization of the spiritual word. The bibliographer Christian imagines that it is the downfall of the mind, seeking to penetrate the mystery of God. I agree rather with Grand Orient that it is the ruin of the House of We, when evil has prevailed therein, and above all that it is the rending of a House of Doctrine. I understand that the reference is, however, to a House of Falsehood. It illustrates also in the most comprehensive way the old truth that ""except the Lord build the house, they labour in vain that build it.""There is a sense in which the catastrophe is a reflection from the previous card, but not on the side of the symbolism which I have tried to indicate therein. It is more correctly a question of analogy; one is concerned with the fall into the material and animal state, while the other signifies destruction on the intellectual side. The Tower has been spoken of as the chastisement of pride and the intellect overwhelmed in the attempt to penetrate the Mystery of God; but in neither case do these explanations account for the two persons who are the living sufferers. The one is the literal word made void and the other its false interpretation. In yet a deeper sense, it may signify also the end of a dispensation, but there is no possibility here for the consideration of this involved question.","Egestas, magna fringilla Phasellus ut, malesuada facilisis. Vitae. lacus vitae. fringilla Sed felis. lacus. Facilisis lorem fringilla egestas, vitae justo, fringilla. Laoreet magna lacus. Ut, egestas, eget justo, facilisis Aliquam laoreet. Sed Phasellus ut, fringilla dui. mollis eu.","Vitae egestas, vitae. Phasellus Phasellus lacus. Vitae. vitae. lacus felis.. Eget vitae. facilisis lorem dui. eu Aliquam. Phasellus eu fringilla egestas, lectus, vitae Phasellus. Lacus lectus, malesuada lectus,. Eget eget dui. lectus,. Lorem malesuada lacus Phasellus.","Malesuada egestas, mattis facilisis eu vitae. fringilla Sed. Aliquam fringilla sed mattis egestas, fringilla mattis Sed. Eu ut, dui. laoreet. Eget Aliquam vitae. dui. mollis mollis. Facilisis mollis Phasellus vitae. lacus mattis facilisis. Magna vitae laoreet dui. ut, eget Aliquam.","Aliquam vitae. vitae..
Lorem fringilla lectus,.
Vitae Phasellus laoreet.
Mattis felis. felis..
Dui. lacus vitae.
Mollis magna facilisis.","Lectus, malesuada Phasellus.
Eu mattis lacus.
Fringilla vitae. dui..
Fringilla Sed facilisis.
Lectus, magna sed.
Phasellus Phasellus Aliquam.","Eget justo, mollis.
Vitae. eget Phasellus.
Phasellus laoreet mollis.
Lorem ut, malesuada.
Dui. justo, malesuada.
Aliquam lacus justo,.","Lacus dui. mattis.
Eu mollis dui..
Ut, eget eu.
Phasellus vitae Sed.
Aliquam Sed vitae..
Lorem Phasellus mattis.",1,1,
7,Hierophant,5,https://i.imgur.com/RU5dusE.jpg,Taurus,mattis,"ut,",Sed,fringilla,"He wears the triple crown and is seated between two pillars, but they are not those of the Temple which is guarded by the High Priestess. In his left hand he holds a sceptre terminating in the triple cross, and with his right hand he gives the well-known ecclesiastical sign which is called that of esotericism, distinguishing between the manifest and concealed part of doctrine. It is noticeable in this connexion that the High Priestess makes no sign. At his feet are the crossed keys, and two priestly ministers in albs kneel before him. He has been usually called the Pope, which is a particular application of the more general office that he symbolizes. He is the ruling power of external religion, as the High Priestess is the prevailing genius of the esoteric, withdrawn power. The proper meanings of this card have suffered woeful admixture from nearly all hands. Grand Orient says truly that the Hierophant is the power of the keys, exoteric orthodox doctrine, and the outer side of the life which leads to the doctrine; but he is certainly not the prince of occult doctrine, as another commentator has suggested.He is rather the summa totius theologiæ, when it has passed into the utmost rigidity of expression; but he symbolizes also all things that are righteous and sacred on the manifest side. As such, he is the channel of grace belonging to the world of institution as distinct from that of Nature, and he is the leader of salvation for the human race at large. He is the order and the head of the recognized hierarchy, which is the reflection of another and greater hierarchic order; but it may so happen that the pontiff forgets the significance of this his symbolic state and acts as if he contained within his proper measures all that his sign signifies or his symbol seeks to shew forth. He is not, as it has been thought, philosophy-except on the theological side; he is not inspiration; and he is not religion, although he is a mode of its expression.","Lorem lorem vitae. eget vitae eget fringilla malesuada. Lacus lorem lacus dui. ut, egestas,. Justo, dui. sed. Felis. Phasellus mollis eu mattis Sed.","Dui. lacus egestas, lorem fringilla fringilla dui.. Mattis magna mollis sed. Fringilla sed sed justo, malesuada fringilla fringilla. Fringilla dui. justo, lacus magna eget malesuada Phasellus. Felis. lacus fringilla lacus Sed laoreet.","Phasellus lorem ut, vitae.. Egestas, dui. lectus, justo, lacus. Lacus lectus, malesuada lacus lacus fringilla lacus. Lacus sed mattis Phasellus egestas,. Dui. lorem eu ut, laoreet sed dui..","Mattis Phasellus Sed.
Lectus, vitae. laoreet.
Egestas, eu laoreet.
Lacus lectus, facilisis.
Fringilla eget mollis.
Lorem vitae vitae..","Phasellus dui. eu.
Mattis mattis Sed.
Facilisis eget mattis.
Lorem sed lacus.
Mattis sed lorem.
Vitae. fringilla Aliquam.","Egestas, eu lectus,.
Facilisis egestas, Aliquam.
Fringilla dui. Aliquam.
Eget Aliquam eget.
Lacus ut, facilisis.
Eu vitae. mollis.","Vitae. fringilla felis..
Laoreet vitae Aliquam.
Lacus mattis dui..
Dui. malesuada Phasellus.
Sed mollis ut,.
Aliquam facilisis lorem.",1,1,
8,Justice,11,https://i.imgur.com/RIjxAh0.jpg,Libra,Sed,"ut,",fringilla,lacus,"As this card follows the traditional symbolism and carries above all its obvious meanings, there is little to say regarding it outside the few considerations collected in the first part, to which the reader is referred.It will be seen, however, that the figure is seated between pillars, like the High Priestess, and on this account it seems desirable to indicate that the moral principle which deals unto every man according to his works--while, of course, it is in strict analogy with higher things;--differs in its essence from the spiritual justice which is involved in the idea of election. The latter belongs to a mysterious order of Providence, in virtue of which it is possible for certain men to conceive the idea of dedication to the highest things. The operation of this is like the breathing of the Spirit where it wills, and we have no canon of criticism or ground of explanation concerning it. It is analogous to the possession of the fairy gifts and the high gifts and the gracious gifts of the poet: we have them or have not, and their presence is as much a mystery as their absence. The law of Justice is not however involved by either alternative. In conclusion, the pillars of Justice open into one world and the pillars of the High Priestess into another.","Malesuada lacus sed mollis. Mattis Aliquam Aliquam eget. Lectus, Sed eu eget lacus vitae. Aliquam. Eu Sed lorem vitae mollis justo, eu.","Sed sed Sed vitae lacus justo, lacus. Facilisis Phasellus justo, sed vitae. mattis fringilla eu. Phasellus fringilla lacus laoreet. Sed facilisis sed laoreet. Aliquam mollis Sed Aliquam lorem. Aliquam eget laoreet.","Magna eu mollis egestas, Phasellus. Malesuada Aliquam fringilla Sed malesuada magna mollis. Mollis Phasellus lectus, lectus, fringilla eu. Sed Phasellus felis.. Laoreet vitae fringilla vitae. fringilla lacus.","Sed Phasellus laoreet.
Laoreet fringilla ut,.
Mattis vitae lacus.
Sed magna facilisis.
Sed facilisis mollis.
Lacus eget fringilla.","Phasellus facilisis fringilla.
Phasellus eu mattis.
Facilisis lacus Phasellus.
Egestas, felis. justo,.
Lectus, vitae lacus.
Vitae lacus eu.","Eu laoreet mattis.
Mattis vitae eu.
Lorem lorem eget.
Eu mattis dui..
Justo, Sed eget.
Fringilla Sed eu.","Phasellus sed lacus.
Aliquam dui. magna.
Malesuada eget vitae.
Mattis eu egestas,.
Facilisis lectus, Sed.
Mattis mattis Phasellus.",1,1,
9,The Magician,1,https://i.imgur.com/JSr4wbA.jpg,Imperdiet,"justo,",eget,"lectus,","lectus,","A youthful figure in the robe of a magician, having the countenance of divine Apollo, with smile of confidence and shining eyes. Above his head is the mysterious sign of the Holy Spirit, the sign of life, like an endless cord, forming the figure 8 in a horizontal position . About his waist is a serpent-cincture, the serpent appearing to devour its own tail. This is familiar to most as a conventional symbol of eternity, but here it indicates more especially the eternity of attainment in the spirit. In the Magician's right hand is a wand raised towards heaven, while the left hand is pointing to the earth. This dual sign is known in very high grades of the Instituted Mysteries; it shews the descent of grace, virtue and light, drawn from things above and derived to things below. The suggestion throughout is therefore the possession and communication of the Powers and Gifts of the Spirit. On the table in front of the Magician are the symbols of the four Tarot suits, signifying the elements of natural life, which lie like counters before the adept, and he adapts them as he wills. Beneath are roses and lilies, the flos campi and lilium convallium, changed into garden flowers, to shew the culture of aspiration. This card signifies the divine motive in man, reflecting God, the will in the liberation of its union with that which is above. It is also the unity of individual being on all planes, and in a very high sense it is thought, in the fixation thereof. With further reference to what I have called the sign of life and its connexion with the number 8, it may be remembered that Christian Gnosticism speaks of rebirth in Christ as a change ""unto the Ogdoad."" The mystic number is termed Jerusalem above, the Land flowing with Milk and Honey, the Holy Spirit and the Land of the Lord. According to Martinism, 8 is the number of Christ.","Fringilla dui. Sed eget eget fringilla. Eu Phasellus eu Aliquam. Eu vitae malesuada fringilla fringilla vitae.. Facilisis malesuada sed lacus lectus, Aliquam. Eu eu ut, dui.. Malesuada magna eget lacus lorem magna mattis lacus. Sed ut, dui. dui. lacus mattis mollis.","Aliquam felis. vitae. lacus mollis mattis. Eu lorem fringilla eu fringilla. Vitae ut, vitae. magna lectus, magna Phasellus. Sed mattis felis..","Phasellus egestas, malesuada fringilla dui. vitae magna. Phasellus lacus lacus vitae. lectus, egestas, fringilla. Lacus sed eu eu Sed. Lectus, lectus, facilisis eu egestas, lorem. Lacus dui. mattis.","Lacus lacus felis..
Eget laoreet egestas,.
Ut, Phasellus ut,.
Mattis lorem vitae..
Lorem mollis lacus.
Lectus, laoreet fringilla.","Mattis lacus vitae.
Egestas, malesuada lectus,.
Lacus malesuada magna.
Lacus justo, magna.
Eget mattis Phasellus.
Vitae. eget lectus,.","Sed dui. fringilla.
Mollis mattis vitae..
Justo, vitae malesuada.
Vitae malesuada fringilla.
Vitae vitae laoreet.
Lectus, lectus, Aliquam.","Felis. mollis Sed.
Phasellus fringilla lectus,.
Egestas, eget mattis.
Ut, lorem lacus.
Felis. egestas, facilisis.
Malesuada fringilla mattis.",1,1,
10,The Fool,0,https://i.imgur.com/L4TIBCx.jpg,lacus,eu,"ut,",felis.,"ut,","With light step, as if earth and its trammels had little power to restrain him, a young man in gorgeous vestments pauses at the brink of a precipice among the great heights of the world; he surveys the blue distance before him-its expanse of sky rather than the prospect below. His act of eager walking is still indicated, though he is stationary at the given moment; his dog is still bounding. The edge which opens on the depth has no terror; it is as if angels were waiting to uphold him, if it came about that he leaped from the height. His countenance is full of intelligence and expectant dream. He has a rose in one hand and in the other a costly wand, from which depends over his right shoulder a wallet curiously embroidered. He is a prince of the other world on his travels through this one-all amidst the morning glory, in the keen air. The sun, which shines behind him, knows whence he came, whither he is going, and how he will return by another path after many days. He is the spirit in search of experience. Many symbols of the Instituted Mysteries are summarized in this card, which reverses, under high warrants, all the confusions that have preceded it.In his Manual of Cartomancy, Grand Orient has a curious suggestion of the office of Mystic Fool, as apart of his process in higher divination; but it might call for more than ordinary gifts to put it into operation. We shall see how the card fares according to the common arts of fortune-telling, and it will be an example, to those who can discern, of the fact, otherwise so evident, that the Trumps Major had no place originally in the arts of psychic gambling, when cards are used as the counters and pretexts. Of the circumstances under which this art arose we know, however, very little. The conventional explanations say that the Fool signifies the flesh, the sensitive life, and by a peculiar satire its subsidiary name was at one time the alchemist, as depicting folly at the most insensate stage.","Phasellus eget eget ut, Sed. Eget vitae sed Sed. Facilisis vitae mattis sed. Lorem magna vitae. Aliquam Phasellus Phasellus. Vitae dui. eu eu. Lacus fringilla lorem mollis laoreet felis. eget vitae.","Fringilla eu justo, dui. fringilla Phasellus. Phasellus egestas, Aliquam magna facilisis laoreet. Egestas, fringilla lorem eget dui.. Fringilla felis. mattis mattis Aliquam fringilla. Mollis dui. dui. felis. malesuada egestas,. Lacus mollis facilisis lectus, Aliquam.","Laoreet vitae malesuada Phasellus eu eget. Magna vitae Aliquam lacus. Lacus lacus magna dui.. Sed lacus mollis fringilla. Fringilla sed magna eget Phasellus sed lorem ut,. Dui. lacus vitae Sed facilisis laoreet dui. lacus. Ut, lorem felis. lorem eu.","Egestas, Phasellus mollis.
Vitae. lorem Phasellus.
Fringilla magna eget.
Laoreet mattis eu.
Felis. Sed facilisis.
Sed lacus fringilla.","Fringilla Phasellus vitae.
Eu justo, egestas,.
Eu dui. mollis.
Phasellus malesuada felis..
Lectus, magna malesuada.
Justo, lacus ut,.","Laoreet fringilla laoreet.
Fringilla lacus dui..
Laoreet fringilla sed.
Fringilla fringilla fringilla.
Malesuada eget ut,.
Sed felis. sed.","Egestas, facilisis mollis.
Magna justo, dui..
Malesuada felis. ut,.
Fringilla eu eget.
Sed justo, lacus.
Sed eget mollis.",1,1,
